handle,variant,s,targets,LR_central,LR_lo,LR_hi,EIG_nats_median,EIG_p16,EIG_p84,PNR_now_median,PNR_if_NRlike_median,PNR_if_bkglike_median,dlog10_odds_NR_if_NRlike,dlog10_odds_NR_if_bkglike,source
waveform-level release of all of the above,central,1.0,WALL+RFR+ER+ACC+ART,4.0,2.5,10.0,0.004143404390529733,0.0012138035948969924,0.012270327617744098,0.9941415225179018,0.9978569935400252,0.979413350437297,0.48873742287664185,-0.5684196268255852,"product of the above, correlated"
waveform-level release of all of the above,mc,1.0,WALL+RFR+ER+ACC+ART,4.0,2.5,10.0,0.004725148192900534,0.0013325584315105978,0.01454596321891543,0.9941415225179018,0.9978939965266718,0.9749481449720034,0.4921840632726992,-0.6279100665612127,"product of the above, correlated"
S1 pulse shape / photon timing (ER vs NR template LR),central,0.01,WALL+RFR+ER+ACC+ART,3.0,2.0,5.0,0.12428317540207234,0.06409961510753397,0.14829629022666116,0.624532347090228,0.8119722374451085,0.38105709002813715,0.4614552341573299,-0.4471058183449905,P077: LR <= 2-5 after LZ's AmBe-vs-ER statement
S1 pulse shape / photon timing (ER vs NR template LR),mc,0.01,WALL+RFR+ER+ACC+ART,3.0,2.0,5.0,0.11481031710309703,0.06068955918061626,0.17343768323967704,0.624532347090228,0.8118260286172991,0.3689845199710627,0.45490247994240474,-0.44254232789933295,P077: LR <= 2-5 after LZ's AmBe-vs-ER statement
S2 width vs drift template (cathode-emission S2),central,0.01,ACC,5.0,3.0,20.0,0.009489389095669208,0.0017081099828025743,0.04932008566127892,0.6274803845392473,0.6464275077586443,0.5603342312851488,0.010121154556466654,-0.04958067689267848,P022: cathode S2 1.65 vs 1.49 us (2.4 sigma_stat)
S2 width vs drift template (cathode-emission S2),mc,0.01,ACC,5.0,3.0,20.0,0.011999042642329665,0.0020935661061411456,0.062242316038624436,0.6274803845392473,0.6465759082832208,0.5286476771747256,0.010256293848113749,-0.07801625009136709,P022: cathode S2 1.65 vs 1.49 us (2.4 sigma_stat)
S1 TBA + per-PMT hit pattern vs wall-MSSI / isolated-S1 templates,central,0.01,WALL+ACC,1.5,1.0,3.0,0.001928108745667884,0.000498838731386114,0.008177792386815418,0.623753738876694,0.6382204041869417,0.6116382061995557,0.010270591443265632,-0.008791744196565135,LZ: no discrimination found; P077: TBA sigma 0.035
S1 TBA + per-PMT hit pattern vs wall-MSSI / isolated-S1 templates,mc,0.01,WALL+ACC,1.5,1.0,3.0,0.002262552995201451,0.0002914904360266091,0.012374751454873314,0.623753738876694,0.6377919829076538,0.6053334760498738,0.009328458359251597,-0.010024676378989066,LZ: no discrimination found; P077: TBA sigma 0.035
"(x, y) within FV vs gamma-source map (azimuth, PMT hot spots, 57Co tube)",central,0.01,WALL+RFR,2.0,1.0,3.0,0.00038273074856245146,0.000106635223858537,0.0013933525194115923,0.6250001771959804,0.6261383362916452,0.6233638881044429,0.0009824561882557517,-0.0014695296195080666,P070: wall LR spans 2-50 with the source; P033 source maps
"(x, y) within FV vs gamma-source map (azimuth, PMT hot spots, 57Co tube)",mc,0.01,WALL+RFR,2.0,1.0,3.0,0.0002101762654293653,2.8472410838273593e-05,0.0010434519862054551,0.6250001771959804,0.6259381708195784,0.6236166212990906,0.0007727159182523063,-0.0008693839129842451,P070: wall LR spans 2-50 with the source; P033 source maps
"hour-resolved e-lifetime, 83mKr S2c-map cell at (x,y), per-PMT S2 footprint",central,0.01,ART,2.0,1.3,5.0,0.04313044729634067,0.01327542576346666,0.08061108637268485,0.6229133324211575,0.7324303336935788,0.5259835112397808,0.18710549274283167,-0.1832818945004115,P041: testable channels are 1.6e-3 of the 6e-3 residual
"hour-resolved e-lifetime, 83mKr S2c-map cell at (x,y), per-PMT S2 footprint",mc,0.01,ART,2.0,1.3,5.0,0.04905108989202717,0.014377216432875501,0.12879081729624342,0.6229133324211575,0.7371602658705495,0.48784158947645534,0.18983927826444963,-0.21292929271234964,P041: testable channels are 1.6e-3 of the 6e-3 residual
waveform-level release of all of the above,central,0.01,WALL+RFR+ER+ACC+ART,4.0,2.5,10.0,0.16052393487699856,0.0846133083413792,0.18969171610294402,0.6236324710050125,0.8198737394269611,0.31660072188559085,0.49032273562155354,-0.568974186308987,"product of the above, correlated"
waveform-level release of all of the above,mc,0.01,WALL+RFR+ER+ACC+ART,4.0,2.5,10.0,0.16300005672315537,0.09012694246401122,0.23944086894470618,0.6236324710050125,0.8226044320427127,0.27466087265647543,0.4935846421793771,-0.6273130764280699,"product of the above, correlated"
S1 pulse shape / photon timing (ER vs NR template LR),central,0.0037191407693934375,WALL+RFR+ER+ACC+ART,3.0,2.0,5.0,0.12864271285249623,0.08729829879425584,0.14853293326280087,0.3823572507149947,0.6162434900199498,0.1860330057530735,0.4629467324889402,-0.44761094037076815,P077: LR <= 2-5 after LZ's AmBe-vs-ER statement
S1 pulse shape / photon timing (ER vs NR template LR),mc,0.0037191407693934375,WALL+RFR+ER+ACC+ART,3.0,2.0,5.0,0.12250736439550115,0.07948895238982269,0.17565626926202726,0.3823572507149947,0.6165282392720071,0.17900855654402745,0.4561169512460229,-0.44288156513435595,P077: LR <= 2-5 after LZ's AmBe-vs-ER statement
S2 width vs drift template (cathode-emission S2),central,0.0037191407693934375,ACC,5.0,3.0,20.0,0.01571343144713137,0.002655992202581373,0.0777843398041852,0.38340226706384845,0.40150613626300624,0.32220499957505355,0.010119753412451861,-0.04957426562341005,P022: cathode S2 1.65 vs 1.49 us (2.4 sigma_stat)
S2 width vs drift template (cathode-emission S2),mc,0.0037191407693934375,ACC,5.0,3.0,20.0,0.0197475084083543,0.003297183309675174,0.09774202250540714,0.38340226706384845,0.40201903896840224,0.2928769539497056,0.010232471944321059,-0.07744294225385198,P022: cathode S2 1.65 vs 1.49 us (2.4 sigma_stat)
S1 TBA + per-PMT hit pattern vs wall-MSSI / isolated-S1 templates,central,0.0037191407693934375,WALL+ACC,1.5,1.0,3.0,0.003213161846246161,0.0007863968071608544,0.01335709016257234,0.37929401480454306,0.3950688828844541,0.36743017220585483,0.010106690762920858,-0.00865444212921832,LZ: no discrimination found; P077: TBA sigma 0.035
S1 TBA + per-PMT hit pattern vs wall-MSSI / isolated-S1 templates,mc,0.0037191407693934375,WALL+ACC,1.5,1.0,3.0,0.0036690676946053704,0.00047753228480003633,0.020794521564049658,0.37929401480454306,0.39489083640283684,0.36138369044015806,0.009224783999759997,-0.009928089324335792,LZ: no discrimination found; P077: TBA sigma 0.035
"(x, y) within FV vs gamma-source map (azimuth, PMT hot spots, 57Co tube)",central,0.0037191407693934375,WALL+RFR,2.0,1.0,3.0,0.000630043861982547,0.00017132181383938412,0.0023453012463698344,0.3846727701564979,0.38578672215870335,0.3828170286349051,0.0009854846190776195,-0.0014740466515473524,P070: wall LR spans 2-50 with the source; P033 source maps
"(x, y) within FV vs gamma-source map (azimuth, PMT hot spots, 57Co tube)",mc,0.0037191407693934375,WALL+RFR,2.0,1.0,3.0,0.0003400025285966728,4.4475281620877047e-05,0.001726593452810935,0.3846727701564979,0.38562562316584864,0.3829752583720307,0.0007828868304705827,-0.0008676443397492277,P070: wall LR spans 2-50 with the source; P033 source maps
"hour-resolved e-lifetime, 83mKr S2c-map cell at (x,y), per-PMT S2 footprint",central,0.0037191407693934375,ART,2.0,1.3,5.0,0.0605027251751114,0.023440809899612763,0.08361979838115614,0.3805333453591083,0.5014857184360944,0.2916558262218717,0.18680890656727583,-0.1830921811280348,P041: testable channels are 1.6e-3 of the 6e-3 residual
"hour-resolved e-lifetime, 83mKr S2c-map cell at (x,y), per-PMT S2 footprint",mc,0.0037191407693934375,ART,2.0,1.3,5.0,0.06769845965099436,0.02323310424603477,0.14685444883321436,0.3805333453591083,0.5078253736788708,0.2615677012709027,0.18869750085318637,-0.2124543300096563,P041: testable channels are 1.6e-3 of the 6e-3 residual
waveform-level release of all of the above,central,0.0037191407693934375,WALL+RFR+ER+ACC+ART,4.0,2.5,10.0,0.16523936301816472,0.11207716023629016,0.1898514156024608,0.3820085830639466,0.6291924334067613,0.14814210613162923,0.48945186483806247,-0.5686698846074888,"product of the above, correlated"
waveform-level release of all of the above,mc,0.0037191407693934375,WALL+RFR+ER+ACC+ART,4.0,2.5,10.0,0.17227424359049892,0.11259957659075756,0.24139778386093222,0.3820085830639466,0.6328005514099134,0.12315069773976682,0.49293147314600505,-0.6307420952013967,"product of the above, correlated"
