entry,kind,isospin,NR_reduction,coefficients_Anand,responses,reliability,Z_LZ_100,Z_LZ_200,Z_LZ_400,Z_LZ_1000,Z_LZ_4000,class_H0.02,class_rep_H0.02,H_to_rep,N3sigma_gauss_vs_rep,coupling_ratio_entry_over_rep_at_equal_R200_270,class_H0.05,class_rep_H0.05,class_H0.15,class_rep_H0.15,N_lo,N_mid,R_hi_unit,acc_unit,N_2p84,peak_true_keV,obs_median_keV,p248_per_keV,Z_pred_P016,resid_Z_LZ_minus_pred_1000
L9s,Lagrangian,s,(q2/2 mchi mN) O1 - 2 O5 - 2[(q2/mN2) O4 - O6],"{""c1"": ""0.000469136 (q/mN)^2"", ""c5"": ""-2"", ""c4"": ""-2 (q/mN)^2"", ""c6"": ""2""}",(mN/mchi)2 q4 M + q2v2 (M+Delta) + q4 Sigma',likely (sign of O5 vs spin-spin term uncertain),2.1,2.9,2.9,3,3.1,11,L9s,0,inf,1,9,L9s,6,L9s,7.7896,2.509,0.44739,5.4095,15.363,16.25,35.5,0.0011084,3.0935,-0.093532
L9v,Lagrangian,v,(q2/2 mchi mN) O1 - 2 O5 - 2[(q2/mN2) O4 - O6],"{""c1"": ""0.000469136 (q/mN)^2"", ""c5"": ""-2"", ""c4"": ""-2 (q/mN)^2"", ""c6"": ""2""}",(mN/mchi)2 q4 M + q2v2 (M+Delta) + q4 Sigma',likely (sign of O5 vs spin-spin term uncertain),2.7,3,3.1,3.2,3.1,26,L9v,0,inf,1,24,L9v,15,L9v,0.69054,1.6109,0.471,1.6624,4.7213,31.25,155.5,0.0038952,3.5062,-0.30616
L10s,Lagrangian,s,4[(q2/mN2) O4 - O6],"{""c4"": ""4 (q/mN)^2"", ""c6"": ""-4""}",q4 Sigma',certain (P003/P012 vs LZ Fig. 1),2.9,3.1,3.4,3.4,3.4,25,L10s,0,inf,1,23,L10s,14,L10s,0.19737,1.606,0.39608,1.1751,3.3373,196.25,178.5,0.0042461,3.5684,-0.16839
L10v,Lagrangian,v,4[(q2/mN2) O4 - O6],"{""c4"": ""4 (q/mN)^2"", ""c6"": ""-4""}",q4 Sigma',certain (P003/P012 vs LZ Fig. 1),3,3.2,3.3,3.4,3.4,25,L10s,0.019338,3241,1.1338,23,L10s,14,L10s,0.20186,1.5403,0.3081,0.89537,2.5429,196.25,180.5,0.0044107,3.5677,-0.16774
L11s,Lagrangian,s,-4 O9,"{""c9"": ""-4""}",q2 Sigma',likely,2.5,3,3.1,3.2,3.2,30,L11s,0,inf,1,28,L11s,17,L11s,2.0686,2.7137,6.4237,39.289,111.58,16.25,109.5,0.0019126,3.3761,-0.17612
L11v,Lagrangian,v,-4 O9,"{""c9"": ""-4""}",q2 Sigma',likely,2.5,2.9,3.1,3.2,3.2,31,L11v,0,inf,1,28,L11s,17,L11s,2.2078,2.573,4.9853,30.509,86.645,16.25,105.5,0.0019478,3.3652,-0.16518
L12s,Lagrangian,s,-4[(q2/mN2) O12 + O15] - (mN/mchi)(q2/mN2) O10,"{""c12"": ""-4 (q/mN)^2"", ""c15"": ""-4"", ""c10"": ""-0.000938272 (q/mN)^2""}","q4 v2 Sigma'' + q4 Phi~' (Sigma', Phi'' cancel) + (mN/mchi)2 q4 Sigma''",likely (derived; relative O12/O15 sign fixed by a vector identity),2.4,3.1,3.2,3.2,3.3,16,L12s,0,inf,1,14,L12s,7,L12s,1.0256,1.825,0.0041142,0.017285,0.049089,51.25,81.5,0.0032783,3.4691,-0.26912
L12v,Lagrangian,v,-4[(q2/mN2) O12 + O15] - (mN/mchi)(q2/mN2) O10,"{""c12"": ""-4 (q/mN)^2"", ""c15"": ""-4"", ""c10"": ""-0.000938272 (q/mN)^2""}","q4 v2 Sigma'' + q4 Phi~' (Sigma', Phi'' cancel) + (mN/mchi)2 q4 Sigma''",likely (derived; relative O12/O15 sign fixed by a vector identity),2.5,3,3.2,3.2,3.2,18,L12v,0,inf,1,16,L12v,8,L12v,1.2778,3.6804,0.0039102,0.025145,0.071412,66.25,81.5,0.0028476,3.4441,-0.24408
L13s,Lagrangian,s,2 O8 - 2 O9,"{""c8"": ""2"", ""c9"": ""-2""}",v2 (M+Delta) + q2 Sigma' - Delta Sigma' cross,likely (sign of O8-O9 cross term uncertain),0,2,2.4,2.5,2.6,6,L13s,0,inf,1,5,L13s,3,L13s,84.044,5.8741,7.0716,739.27,2099.5,16.25,17.5,0.00011934,2.2852,0.21475
L13v,Lagrangian,v,2 O8 - 2 O9,"{""c8"": ""2"", ""c9"": ""-2""}",v2 (M+Delta) + q2 Sigma' - Delta Sigma' cross,likely (sign of O8-O9 cross term uncertain),2,2.8,3,3,3,13,L13v,0,inf,1,11,L13v,6,L9s,6.4164,3.1013,7.4204,84.926,241.19,16.25,37.5,0.0011198,3.1427,-0.14266
L14s,Lagrangian,s,4 O9,"{""c9"": ""4""}",q2 Sigma',likely (LZ: L11/L14 differ by a constant),2.5,2.9,3,3.1,3.1,30,L11s,0,inf,1,28,L11s,17,L11s,2.0686,2.7137,6.4237,39.289,111.58,16.25,109.5,0.0019126,3.3761,-0.27612
L14v,Lagrangian,v,4 O9,"{""c9"": ""4""}",q2 Sigma',likely (LZ: L11/L14 differ by a constant),2.5,2.9,3,3.1,3.1,31,L11v,1.4901e-08,inf,1,28,L11s,17,L11s,2.2078,2.573,4.9853,30.509,86.645,16.25,105.5,0.0019478,3.3652,-0.26518
L15s,Lagrangian,s,-4 O4,"{""c4"": ""-4""}",Sigma' + Sigma'',certain,1.1,2.3,2.6,2.7,2.7,10,O4s,0,inf,0.25,8,O4s,5,O4s,27.583,10.166,259.62,11414,32416,16.25,24.5,0.00025835,2.7076,-0.0075525
L15v,Lagrangian,v,-4 O4,"{""c4"": ""-4""}",Sigma' + Sigma'',certain,1,2.4,2.6,2.7,2.7,10,O4s,0.0064325,27831,0.26948,8,O4s,5,O4s,28.82,10.857,223.45,10305,29267,16.25,24.5,0.00024832,2.6927,0.00729
L16s,Lagrangian,s,-4 O13,"{""c13"": ""-4""}",q2 v2 Sigma'' + q2 Phi~',"likely (derived, q^0 dropped)",2.8,3.3,3.4,3.4,3.2,20,L16s,0,inf,1,18,L16s,10,L16s,4.7031,2.9837,0.04338,0.40863,1.1605,36.25,51.5,0.001386,3.2167,0.18327
L16v,Lagrangian,v,-4 O13,"{""c13"": ""-4""}",q2 v2 Sigma'' + q2 Phi~',"likely (derived, q^0 dropped)",2.4,3.2,3.3,3.2,3.2,19,L16v,0,inf,1,17,L16v,9,L16v,9.0099,10.355,0.058642,1.2872,3.6556,46.25,58.5,0.00081075,3.0538,0.14625
L17s,Lagrangian,s,-2 O11,"{""c11"": ""-2""}",q2 M,likely (LZ: L3/L17 differ by a constant),0,1.1,1.6,1.8,1.8,8,L17s,0,inf,1,6,L17s,4,L17s,261.44,31.727,10663,3.3543e+06,9.5262e+06,16.25,27.5,1.2499e-05,1.7589,0.041065
L17v,Lagrangian,v,-2 O11,"{""c11"": ""-2""}",q2 M,likely (LZ: L3/L17 differ by a constant),0,2.1,2.5,2.6,2.7,1,L3v,1.4901e-08,inf,0.00046914,1,L3v,1,L3v,34.713,3.8713,1521.4,63795,1.8118e+05,16.25,22.5,0.00044861,2.6265,-0.026463
L18s,Lagrangian,s,-(q2/mN2) O11 + 4 O15,"{""c11"": ""-1 (q/mN)^2"", ""c15"": ""4""}",q6 M + q4 Phi'' + q6 Phi''M + q4 v2 Sigma',likely (sign of O11-O15 cross term uncertain),2.2,2.9,3.1,3.1,3.1,24,L18s,0,inf,1,22,L18s,13,L18s,4.1934,11.974,2.883,52.049,147.82,146.25,134.5,0.00057907,3.2424,-0.14235
L18v,Lagrangian,v,-(q2/mN2) O11 + 4 O15,"{""c11"": ""-1 (q/mN)^2"", ""c15"": ""4""}",q6 M + q4 Phi'' + q6 Phi''M + q4 v2 Sigma',likely (sign of O11-O15 cross term uncertain),2.2,2.8,2.9,2.9,2.9,34,L18v,0,inf,1,31,L18v,19,L18v,0.18035,0.42344,3.4471,6.0873,17.288,241.25,215.5,0.008935,3.571,-0.67101
L19s,Lagrangian,s,4 O14,"{""c14"": ""4""}",q2 v2 Sigma',likely,2.2,2.9,3,3,3.1,30,L11s,0.017691,3656.7,1425.5,28,L11s,17,L11s,2.348,2.8609,3.1612e-06,2.0764e-05,5.8969e-05,16.25,101.5,0.0017653,3.3548,-0.35483
L19v,Lagrangian,v,4 O14,"{""c14"": ""4""}",q2 v2 Sigma',likely,2.2,2.9,3,3,3.1,31,L11v,0.018029,3524.4,1425.6,28,L11s,17,L11s,2.5079,2.7102,2.4531e-06,1.615e-05,4.5865e-05,16.25,97.5,0.0017946,3.3438,-0.34376
L20s,Lagrangian,s,4 O6,"{""c6"": ""4""}",q4 Sigma'',likely (LZ: L4/L20 differ by a constant),2.7,3.1,3.2,3.2,3.3,28,L20s,0,inf,1,26,L20s,16,L20s,0.39697,2.9476,0.6481,2.9766,8.4534,131.25,142.5,0.0029545,3.5413,-0.34135
L20v,Lagrangian,v,4 O6,"{""c6"": ""4""}",q4 Sigma'',likely (LZ: L4/L20 differ by a constant),2.7,3,3.3,3.2,3.3,28,L20s,0.008178,17126,1.0441,26,L20s,16,L20s,0.4082,3.0852,0.59447,2.8218,8.0138,131.25,140.5,0.0028533,3.5399,-0.33987
O1s,operator,s,O1,"{""c1"": ""1""}",M,certain,,,0,0,0,5,L1s,0,inf,1,4,L1s,3,L13s,2774.1,89.657,1.7569e+05,5.8369e+08,1.6577e+09,16.25,16.5,1.0734e-06,0.15817,-0.15817
O1v,operator,v,O1,"{""c1"": ""1""}",M,certain,,,0.8,1.3,1.1,4,L1v,0,inf,1,3,L1v,3,L13s,472.62,8.6976,22548,1.3072e+07,3.7123e+07,16.25,13.5,3.1121e-05,1.4348,-0.13481
O3s,operator,s,O3,"{""c3"": ""1""}",q2 Phi'' + q2v2 Sigma' + q2 Phi''M,certain,,,,,,21,O3s,0,inf,1,19,O3s,10,L16s,12.03,8.1794,22.361,513.35,1457.9,41.25,49.5,0.00054244,2.9719,
O3v,operator,v,O3,"{""c3"": ""1""}",q2 Phi'' + q2v2 Sigma' + q2 Phi''M,certain,,,,,,33,O3v,0,inf,1,30,O3v,18,L2v,4.9012,10.643,1.8357,31.755,90.184,31.25,99.5,0.00040843,3.2075,
O4s,operator,s,O4,"{""c4"": ""1""}",Sigma' + Sigma'',certain,,,2.6,2.7,2.8,10,O4s,0,inf,1,8,O4s,5,O4s,27.583,10.166,16.227,713.37,2026,16.25,24.5,0.00025835,2.7076,-0.0075525
O4v,operator,v,O4,"{""c4"": ""1""}",Sigma' + Sigma'',certain,,,2.6,2.7,2.8,10,O4s,0.0064325,27831,1.0779,8,O4s,5,O4s,28.82,10.857,13.966,644.07,1829.2,16.25,24.5,0.00024832,2.6927,0.00729
O5s,operator,s,O5,"{""c5"": ""1""}",q2v2 (M + Delta),certain,,,,,,12,O5s,0,inf,1,10,O5s,6,L9s,14.163,5.0874,0.061294,1.3257,3.7651,16.25,35.5,0.00063031,2.9236,
O5v,operator,v,O5,"{""c5"": ""1""}",q2v2 (M + Delta),certain,,,,,,27,O5v,0,inf,1,25,O5v,15,L9v,0.99961,2.9859,0.064404,0.34106,0.96861,51.25,117.5,0.0026709,3.472,
O6s,operator,s,O6,"{""c6"": ""1""}",q4 Sigma'',certain,,,,,,28,L20s,0,inf,4,26,L20s,16,L20s,0.39697,2.9476,0.040506,0.18603,0.52834,131.25,142.5,0.0029545,3.5413,
O6v,operator,v,O6,"{""c6"": ""1""}",q4 Sigma'',certain,,,,,,28,L20s,0.008178,17126,4.1765,26,L20s,16,L20s,0.4082,3.0852,0.037155,0.17636,0.50087,131.25,140.5,0.0028533,3.5399,
O7s,operator,s,O7,"{""c7"": ""1""}",v2 Sigma',certain,,,,,,3,L7s,0.0021012,2.6791e+05,2.0281,2,L7s,2,L7s,31.697,5.3599,1.2511e-05,0.0005733,0.0016282,16.25,14.5,0.00023389,2.6591,
O7v,operator,v,O7,"{""c7"": ""1""}",v2 Sigma',certain,,,,,,2,L7v,0.0020249,2.896e+05,2.0281,2,L7s,2,L7s,34.951,4.9899,9.686e-06,0.00048154,0.0013676,16.25,13.5,0.00021999,2.624,
O8s,operator,s,O8,"{""c8"": ""1""}",v2 (M + Delta),certain,,,,,,7,O8s,0,inf,1,5,L13s,3,L13s,154.86,12.772,0.95307,184.76,524.72,16.25,17.5,6.5443e-05,2.0159,
O8v,operator,v,O8,"{""c8"": ""1""}",v2 (M + Delta),certain,,,,,,14,O8v,0,inf,1,12,O8v,6,L9s,8.9867,6.4607,0.99928,17.915,50.88,16.25,45.5,0.00073605,3.0545,
O9s,operator,s,O9,"{""c9"": ""1""}",q2 Sigma',certain,,,,,,30,L11s,0,inf,4,28,L11s,17,L11s,2.0686,2.7137,0.40148,2.4556,6.9738,16.25,109.5,0.0019126,3.3761,
O9v,operator,v,O9,"{""c9"": ""1""}",q2 Sigma',certain,,,,,,31,L11v,1.4901e-08,inf,4,28,L11s,17,L11s,2.2078,2.573,0.31158,1.9068,5.4153,16.25,105.5,0.0019478,3.3652,
O10s,operator,s,O10,"{""c10"": ""1""}",q2 Sigma'',certain,,,,,,32,L2v,0.0078537,18644,0.95746,29,L2v,18,L2v,2.9529,5.9408,2.5219,26.396,74.964,36.25,86.5,0.0012068,3.3138,
O10v,operator,v,O10,"{""c10"": ""1""}",q2 Sigma'',certain,,,,,,32,L2v,0,inf,1,29,L2v,18,L2v,3.0193,6.2461,2.3119,25.098,71.278,36.25,86.5,0.001161,3.3094,
O11s,operator,s,O11,"{""c11"": ""1""}",q2 M,certain,,,,,,8,L17s,0,inf,2,6,L17s,4,L17s,261.44,31.727,2665.6,8.3857e+05,2.3815e+06,16.25,27.5,1.2499e-05,1.7589,
O11v,operator,v,O11,"{""c11"": ""1""}",q2 M,certain,,,,,,1,L3v,1.4901e-08,inf,0.00093827,1,L3v,1,L3v,34.713,3.8713,380.34,15949,45294,16.25,22.5,0.00044861,2.6265,
O12s,operator,s,O12,"{""c12"": ""1""}",v2 (Sigma' + Sigma'' + Phi'') + Phi~',certain,,,,,,9,O12s,0,inf,1,7,O12s,4,L17s,98.387,24.741,86.345,11524,32727,21.25,33.5,8.6632e-05,2.2178,
O12v,operator,v,O12,"{""c12"": ""1""}",v2 (Sigma' + Sigma'' + Phi'') + Phi~',certain,,,,,,15,O12v,0,inf,1,13,O12v,6,L9s,41.131,21.543,7.3324,494.25,1403.7,16.25,37.5,9.606e-05,2.5655,
O13s,operator,s,O13,"{""c13"": ""1""}",q2v2 Sigma'' + q2 Phi~',certain,,,,,,20,L16s,0,inf,4,18,L16s,10,L16s,4.7031,2.9837,0.0027112,0.025539,0.072531,36.25,51.5,0.001386,3.2167,
O13v,operator,v,O13,"{""c13"": ""1""}",q2v2 Sigma'' + q2 Phi~',certain,,,,,,19,L16v,0,inf,4,17,L16v,9,L16v,9.0099,10.355,0.0036651,0.080448,0.22847,46.25,58.5,0.00081075,3.0538,
O14s,operator,s,O14,"{""c14"": ""1""}",q2v2 Sigma',certain,,,,,,30,L11s,0.017691,3656.7,5702,28,L11s,17,L11s,2.348,2.8609,1.9757e-07,1.2977e-06,3.6855e-06,16.25,101.5,0.0017653,3.3548,
O14v,operator,v,O14,"{""c14"": ""1""}",q2v2 Sigma',certain,,,,,,31,L11v,0.018029,3524.4,5702.3,28,L11s,17,L11s,2.5079,2.7102,1.5332e-07,1.0094e-06,2.8666e-06,16.25,97.5,0.0017946,3.3438,
O15s,operator,s,O15,"{""c15"": ""1""}",q4 v2 Sigma' + q4 Phi'',certain,,,,,,17,O15s,0,inf,1,15,O15s,7,L12s,1.7278,2.9381,0.36433,2.2452,6.3765,56.25,71.5,0.0021674,3.4035,
O15v,operator,v,O15,"{""c15"": ""1""}",q4 v2 Sigma' + q4 Phi'',certain,,,,,,29,O15v,0,inf,1,27,O15v,16,L20s,0.70039,5.8973,0.02909,0.23024,0.65388,151.25,142.5,0.00098297,3.5049,
