model,detector,target,events_per_yr,E_R_typ_keV,E_ee_lo,E_ee_hi,threshold_keVee,threshold_pass,B14C_per_yr_in_window,S_over_B,S_over_sqrtB_1yr,note
B: L10 (LZ fit) on 1H,JUNO,1H,0.0002756427778349189,4.632714626233719,0.8569902186590432,2.498136928279541,100.0,False,16441097666.668165,1.676547292786557e-14,2.149716616103852e-09,per kt yr: 1.38e-05; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: L10 (LZ fit) on 13C,JUNO,13C,0.8028085924544637,57.468283089650676,2.998598563188727,8.805728348464857,100.0,False,64154868660.53975,1.2513603553649758e-11,3.1695470426290783e-06,per kt yr: 4.01e-02; single-particle <S_n> = -1/6; Q_C~0.096 (x0.6-1.7)
B: L10 (LZ fit) on 1H,SNO+ water,1H,1.1374893823682854e-05,4.632714626233719,0.8569902186590432,2.498136928279541,3500.0,False,0.0,inf,inf,per kt yr: 1.26e-05; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: O6 (LZ fit) on 1H,Borexino,1H,6.43916355798445e-07,4.632714626233719,0.8569902186590432,2.4981369282795387,50.0,False,63255843.56295693,1.0179555271562721e-14,8.096160901386235e-11,per kt yr: 2.32e-06; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: O6 (LZ fit) on 13C,Borexino,13C,0.0022727020998492575,57.468283089650676,2.998598563188727,8.805728348464857,50.0,False,246830863.6120127,9.207528048119871e-12,1.446581084121556e-07,per kt yr: 8.18e-03; single-particle <S_n> = -1/6; Q_C~0.096 (x0.6-1.7)
B: O6 (LZ fit) on 1H,KamLAND,1H,3.2961835141329236e-06,4.632714626233719,0.8569902186590432,2.4981369282795387,200.0,False,802841369.034036,4.1056473187210455e-15,1.1633128129102831e-10,per kt yr: 3.30e-06; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: O6 (LZ fit) on 13C,KamLAND,13C,0.007788169027056726,57.468283089650676,2.998598563188727,8.805728348464857,200.0,False,3132770307.060914,2.486032572992365e-12,1.3914611703253985e-07,per kt yr: 7.79e-03; single-particle <S_n> = -1/6; Q_C~0.096 (x0.6-1.7)
B: O6 (LZ fit) on 1H,SNO+,1H,2.2029163091428613e-06,4.632714626233719,0.8569902186590432,2.4981369282795387,200.0,False,641202809.0000583,3.435599904152418e-15,8.699620141446989e-11,per kt yr: 2.82e-06; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: O6 (LZ fit) on 13C,SNO+,13C,0.006220152635039805,57.468283089650676,2.998598563188727,8.805728348464857,200.0,False,2502039877.7610497,2.486032572992365e-12,1.2435233033479206e-07,per kt yr: 7.97e-03; single-particle <S_n> = -1/6; Q_C~0.096 (x0.6-1.7)
B: O6 (LZ fit) on 1H,JUNO,1H,5.648503356776568e-05,4.632714626233719,0.8569902186590432,2.4981369282795387,100.0,False,16441097666.668165,3.435599904152417e-15,4.40522389795867e-10,per kt yr: 2.82e-06; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: O6 (LZ fit) on 13C,JUNO,13C,0.15949109320614888,57.468283089650676,2.998598563188727,8.805728348464857,100.0,False,64154868660.53975,2.486032572992365e-12,6.296825015931819e-07,per kt yr: 7.97e-03; single-particle <S_n> = -1/6; Q_C~0.096 (x0.6-1.7)
B: O6 (LZ fit) on 1H,SNO+ water,1H,2.3309562634189286e-06,4.632714626233719,0.8569902186590432,2.4981369282795387,3500.0,False,0.0,inf,inf,per kt yr: 2.58e-06; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
C: SI sigma_n=1e-47 on C,Borexino,C,0.8329857256615952,17.284931760852945,0.7291830530948766,6.24326373146996,50.0,False,224861878.35982466,3.704432835558942e-09,5.5549434503806666e-05,per kt yr: 3.00e+00; Q=0.149
C: SI sigma_n=1e-47 on H,Borexino,H,5.5755002418648544e-05,1.5561248432208998,0.19410462451013466,1.4865486499297507,50.0,False,47105057.78378999,1.18363091017872e-12,8.123628761815849e-09,per kt yr: 2.01e-04; Q=0.403
C: SI sigma_n=1e-47 on C,KamLAND,C,2.8545024132323813,17.284931760852945,0.7291830530948766,6.24326373146996,200.0,False,2853940570.5069947,1.0001968656009144e-09,5.343280234617378e-05,per kt yr: 2.85e+00; Q=0.149
C: SI sigma_n=1e-47 on H,KamLAND,H,0.0002854077523390569,1.5561248432208998,0.19410462451013466,1.4865486499297507,200.0,False,597856054.8627598,4.773854007459594e-13,1.1672595864947275e-08,per kt yr: 2.85e-04; Q=0.403
C: SI sigma_n=1e-47 on C,SNO+,C,2.279796528004342,17.284931760852945,0.7291830530948766,6.24326373146996,200.0,False,2279347802.8294454,1.0001968656009144e-09,4.77519145324854e-05,per kt yr: 2.92e+00; Q=0.149
C: SI sigma_n=1e-47 on H,SNO+,H,0.00019074465656652168,1.5561248432208998,0.19410462451013466,1.4865486499297507,200.0,False,477487828.28285325,3.9947543218531794e-13,8.729135359183709e-09,per kt yr: 2.45e-04; Q=0.403
C: SI sigma_n=1e-47 on C,JUNO,C,58.45632123088058,17.284931760852945,0.7291830530948766,6.24326373146996,100.0,False,58444815457.165276,1.0001968656009144e-09,0.00024180121850331306,per kt yr: 2.92e+00; Q=0.149
C: SI sigma_n=1e-47 on H,JUNO,H,0.004890888629910812,1.5561248432208998,0.19410462451013466,1.4865486499297507,100.0,False,12243277648.27829,3.994754321853179e-13,4.4201695094236816e-08,per kt yr: 2.45e-04; Q=0.403
C: SI sigma_n=1e-47 on H,SNO+ water,H,0.00020183129522084457,1.5561248432208998,0.19410462451013466,1.4865486499297507,3500.0,False,0.0,inf,inf,per kt yr: 2.23e-04; Q=0.403
C: SI sigma_n=1e-47 on O,SNO+ water,O,6.230391574767887,22.222931308356767,0.26939155635003326,2.363133168872674,3500.0,False,0.0,inf,inf,per kt yr: 6.88e+00; Q=0.044
D: exothermic delta=300 on C (f2 = P058 limit 2.8e-03),Borexino,C,2269.976431306697,304.6545818453943,11.948314380657989,17.840228062339463,50.0,False,271688924.0325408,8.355056943855454e-06,0.13771631110648166,f2=1: 8.107e+05/yr; per kt yr at f2=1: 2.916e+06; Q=0.048 (range 0.029-0.082 -> 9-25 keVee)
D: exothermic delta=300 on H (f2 = P058 limit 2.8e-03),Borexino,H,0.7324368915467709,300.76711270956247,43.49681033729614,48.94547274066342,50.0,False,232018143.61073658,3.1568086880981217e-09,4.808495755138428e-05,f2=1: 2.616e+02/yr; per kt yr at f2=1: 9.410e+02; Q=0.153 (Cecil cross-check 0.094)
D: exothermic delta=350 on C (f2 = P058 limit 5.7e-05),Borexino,C,2461.505677062376,353.36570652310826,13.18446792265345,19.117578583892215,50.0,False,276919537.7684369,8.888884102936477e-06,0.1479190274512635,f2=1: 4.318e+07/yr; per kt yr at f2=1: 1.553e+08; Q=0.045 (range 0.027-0.077 -> 10-27 keVee)
D: exothermic delta=350 on H (f2 = P058 limit 5.7e-05),Borexino,H,0.8408940751453324,350.72063764658833,52.07680755668707,58.08310454763559,50.0,True,234546183.3921869,3.5851961561841553e-09,5.490692311511433e-05,f2=1: 1.475e+04/yr; per kt yr at f2=1: 5.307e+04; Q=0.157 (Cecil cross-check 0.106)
D: exothermic delta=366 on C (f2 = P058 limit 4.8e-06),Borexino,C,2543.091921049679,368.9353062553901,13.563344647299132,19.50508555457619,50.0,False,277330287.5469821,9.16990330750967e-06,0.15270856890867182,f2=1: 5.298e+08/yr; per kt yr at f2=1: 1.906e+09; Q=0.044 (range 0.026-0.075 -> 10-28 keVee)
D: exothermic delta=366 on H (f2 = P058 limit 4.8e-06),Borexino,H,0.8853502551738139,366.7074332834944,54.963113890801225,61.15979802806323,50.0,True,232702496.64138514,3.804644419171041e-09,5.8038288287635675e-05,f2=1: 1.844e+05/yr; per kt yr at f2=1: 6.635e+05; Q=0.158 (Cecil cross-check 0.110)
D: exothermic delta=380 on C (f2 = P058 limit 1.7e-07),Borexino,C,2846.4783685029875,382.5853979123634,13.88811409806591,19.842571122220484,50.0,False,277638186.50413144,1.0252474288008757e-05,0.1708316313931644,f2=1: 1.674e+10/yr; per kt yr at f2=1: 6.023e+10; Q=0.043 (range 0.026-0.074 -> 10-28 keVee)
D: exothermic delta=380 on H (f2 = P058 limit 1.7e-07),Borexino,H,1.0067451291676115,380.68688845159954,57.543397520853624,63.904640356398765,50.0,True,231031383.4984747,4.357612000251291e-09,6.623446728143376e-05,f2=1: 5.922e+06/yr; per kt yr at f2=1: 2.130e+07; Q=0.159 (Cecil cross-check 0.113)
D: exothermic delta=300 on C (f2 = P058 limit 2.8e-03),KamLAND,C,7778.828617980409,304.6545818453943,11.948314380657989,17.840228062339463,200.0,False,3448268103.5559487,2.2558653748409723e-06,0.13246882703535975,f2=1: 2.778e+06/yr; per kt yr at f2=1: 2.778e+06; Q=0.048 (range 0.029-0.082 -> 9-25 keVee)
D: exothermic delta=300 on H (f2 = P058 limit 2.8e-03),KamLAND,H,3.749316794516901,300.76711270956247,43.49681033729614,48.94547274066342,200.0,False,2944767685.720384,1.2732131002040993e-09,6.909181760233378e-05,f2=1: 1.339e+03/yr; per kt yr at f2=1: 1.339e+03; Q=0.153 (Cecil cross-check 0.094)
D: exothermic delta=350 on C (f2 = P058 limit 5.7e-05),KamLAND,C,8435.16722904116,353.36570652310826,13.18446792265345,19.117578583892215,200.0,False,3514654904.459735,2.3999987077928482e-06,0.14228278339179118,f2=1: 1.480e+08/yr; per kt yr at f2=1: 1.480e+08; Q=0.045 (range 0.027-0.077 -> 10-27 keVee)
D: exothermic delta=350 on H (f2 = P058 limit 5.7e-05),KamLAND,H,4.304505022533845,350.72063764658833,52.07680755668707,58.08310454763559,200.0,False,2976853494.7902145,1.4459915578872626e-09,7.889409308349555e-05,f2=1: 7.552e+04/yr; per kt yr at f2=1: 7.552e+04; Q=0.157 (Cecil cross-check 0.106)
D: exothermic delta=366 on C (f2 = P058 limit 4.8e-06),KamLAND,C,8714.749607434684,368.9353062553901,13.563344647299132,19.50508555457619,200.0,False,3519868128.9772367,2.4758738930276107e-06,0.14688982618724877,f2=1: 1.816e+09/yr; per kt yr at f2=1: 1.816e+09; Q=0.044 (range 0.026-0.075 -> 10-28 keVee)
D: exothermic delta=366 on H (f2 = P058 limit 4.8e-06),KamLAND,H,4.532074529647085,366.7074332834944,54.963113890801225,61.15979802806323,200.0,False,2953453474.938919,1.534500058356536e-09,8.33934567590265e-05,f2=1: 9.442e+05/yr; per kt yr at f2=1: 9.442e+05; Q=0.158 (Cecil cross-check 0.110)
D: exothermic delta=380 on C (f2 = P058 limit 1.7e-07),KamLAND,C,9754.404093361964,382.5853979123634,13.88811409806591,19.842571122220484,200.0,False,3523775973.7921724,2.768168057762365e-06,0.16432233516400332,f2=1: 5.738e+10/yr; per kt yr at f2=1: 5.738e+10; Q=0.043 (range 0.026-0.074 -> 10-28 keVee)
D: exothermic delta=380 on H (f2 = P058 limit 1.7e-07),KamLAND,H,5.153490306331982,380.68688845159954,57.543397520853624,63.904640356398765,200.0,False,2932243754.415159,1.7575245231820278e-09,9.51702978526353e-05,f2=1: 3.031e+07/yr; per kt yr at f2=1: 3.031e+07; Q=0.159 (Cecil cross-check 0.113)
D: exothermic delta=300 on C (f2 = P058 limit 2.8e-03),SNO+,C,6212.692759692139,304.6545818453943,11.948314380657989,17.840228062339463,200.0,False,2754017517.6145444,2.2558653748409723e-06,0.1183849588466149,f2=1: 2.219e+06/yr; per kt yr at f2=1: 2.845e+06; Q=0.048 (range 0.029-0.082 -> 9-25 keVee)
D: exothermic delta=300 on H (f2 = P058 limit 2.8e-03),SNO+,H,2.50575584744322,300.76711270956247,43.49681033729614,48.94547274066342,200.0,False,2351888411.2914495,1.0654229322331158e-09,5.1669040463736416e-05,f2=1: 8.949e+02/yr; per kt yr at f2=1: 1.147e+03; Q=0.153 (Cecil cross-check 0.094)
D: exothermic delta=350 on C (f2 = P058 limit 5.7e-05),SNO+,C,6736.888668497517,353.36570652310826,13.18446792265345,19.117578583892215,200.0,False,2807038456.5719523,2.3999987077928482e-06,0.12715551147684603,f2=1: 1.182e+08/yr; per kt yr at f2=1: 1.515e+08; Q=0.045 (range 0.027-0.077 -> 10-27 keVee)
D: exothermic delta=350 on H (f2 = P058 limit 5.7e-05),SNO+,H,2.8768010871571796,350.72063764658833,52.07680755668707,58.08310454763559,200.0,False,2377514284.2199564,1.2100037027121522e-09,5.899949124718393e-05,f2=1: 5.047e+04/yr; per kt yr at f2=1: 6.471e+04; Q=0.157 (Cecil cross-check 0.106)
D: exothermic delta=366 on C (f2 = P058 limit 4.8e-06),SNO+,C,6960.18185353672,368.9353062553901,13.563344647299132,19.50508555457619,200.0,False,2811202086.3168817,2.475873893027611e-06,0.13127274104663197,f2=1: 1.450e+09/yr; per kt yr at f2=1: 1.859e+09; Q=0.044 (range 0.026-0.075 -> 10-28 keVee)
D: exothermic delta=366 on H (f2 = P058 limit 4.8e-06),SNO+,H,3.0288910956575807,366.7074332834944,54.963113890801225,61.15979802806323,200.0,False,2358825463.4416246,1.2840674914702261e-09,6.236425732049998e-05,f2=1: 6.310e+05/yr; per kt yr at f2=1: 8.090e+05; Q=0.158 (Cecil cross-check 0.110)
D: exothermic delta=380 on C (f2 = P058 limit 1.7e-07),SNO+,C,7790.519455058375,382.5853979123634,13.88811409806591,19.842571122220484,200.0,False,2814323152.5313544,2.768168057762365e-06,0.14685185429155756,f2=1: 4.583e+10/yr; per kt yr at f2=1: 5.875e+10; Q=0.043 (range 0.026-0.074 -> 10-28 keVee)
D: exothermic delta=380 on H (f2 = P058 limit 1.7e-07),SNO+,H,3.444197750565701,380.68688845159954,57.543397520853624,63.904640356398765,200.0,False,2341885962.1870937,1.4706940500848109e-09,7.11713505497294e-05,f2=1: 2.026e+07/yr; per kt yr at f2=1: 2.597e+07; Q=0.159 (Cecil cross-check 0.113)
D: exothermic delta=300 on C (f2 = P058 limit 2.8e-03),JUNO,C,159299.8143510805,304.6545818453943,11.948314380657989,17.840228062339463,100.0,False,70615833784.98833,2.2558653748409727e-06,0.5994655414727335,f2=1: 5.689e+07/yr; per kt yr at f2=1: 2.845e+06; Q=0.048 (range 0.029-0.082 -> 9-25 keVee)
D: exothermic delta=300 on H (f2 = P058 limit 2.8e-03),JUNO,H,64.25014993444155,300.76711270956247,43.49681033729614,48.94547274066342,100.0,False,60304831058.75513,1.0654229322331156e-09,0.0002616363566853239,f2=1: 2.295e+04/yr; per kt yr at f2=1: 1.147e+03; Q=0.153 (Cecil cross-check 0.094)
D: exothermic delta=350 on C (f2 = P058 limit 5.7e-05),JUNO,C,172740.73508967995,353.36570652310826,13.18446792265345,19.117578583892215,100.0,False,71975345040.30649,2.3999987077928482e-06,0.6438769610713049,f2=1: 3.031e+09/yr; per kt yr at f2=1: 1.515e+08; Q=0.045 (range 0.027-0.077 -> 10-27 keVee)
D: exothermic delta=350 on H (f2 = P058 limit 5.7e-05),JUNO,H,73.76413043992768,350.72063764658833,52.07680755668707,58.08310454763559,100.0,False,60961904723.58864,1.210003702712152e-09,0.00029875553711965685,f2=1: 1.294e+06/yr; per kt yr at f2=1: 6.471e+04; Q=0.157 (Cecil cross-check 0.106)
D: exothermic delta=366 on C (f2 = P058 limit 4.8e-06),JUNO,C,178466.20137273642,368.9353062553901,13.563344647299132,19.50508555457619,100.0,False,72082104777.35596,2.4758738930276107e-06,0.6647253634145206,f2=1: 3.718e+10/yr; per kt yr at f2=1: 1.859e+09; Q=0.044 (range 0.026-0.075 -> 10-28 keVee)
D: exothermic delta=366 on H (f2 = P058 limit 4.8e-06),JUNO,H,77.66387424763028,366.7074332834944,54.963113890801225,61.15979802806323,100.0,False,60482704190.8109,1.284067491470226e-09,0.0003157936924370303,f2=1: 1.618e+07/yr; per kt yr at f2=1: 8.090e+05; Q=0.158 (Cecil cross-check 0.110)
D: exothermic delta=380 on C (f2 = P058 limit 1.7e-07),JUNO,C,199756.90910406093,382.5853979123634,13.88811409806591,19.842571122220484,100.0,False,72162132116.1886,2.7681680577623645e-06,0.7436132698514744,f2=1: 1.175e+12/yr; per kt yr at f2=1: 5.875e+10; Q=0.043 (range 0.026-0.074 -> 10-28 keVee)
D: exothermic delta=380 on H (f2 = P058 limit 1.7e-07),JUNO,H,88.31276283501798,380.68688845159954,57.543397520853624,63.904640356398765,100.0,False,60048358004.797295,1.4706940500848105e-09,0.0003603901425511135,f2=1: 5.195e+08/yr; per kt yr at f2=1: 2.597e+07; Q=0.159 (Cecil cross-check 0.113)
D: exothermic delta=300 on H (f2 = P058 limit 2.8e-03),SNO+ water,H,2.6513977235335804,300.76711270956247,43.49681033729614,48.94547274066342,3500.0,False,0.0,inf,inf,f2=1: 9.469e+02/yr; per kt yr at f2=1: 1.046e+03; Q=0.153 (Cecil cross-check 0.094)
D: exothermic delta=300 on O (f2 = P058 limit 2.8e-03),SNO+ water,O,12549.847867082892,303.05755750281725,10.463929977226822,16.546708124358414,3500.0,False,0.0,inf,inf,f2=1: 4.482e+06/yr; per kt yr at f2=1: 4.953e+06; Q=0.044 (Cecil cross-check 0.094)
D: exothermic delta=350 on H (f2 = P058 limit 5.7e-05),SNO+ water,H,3.044009200389709,350.72063764658833,52.07680755668707,58.08310454763559,3500.0,False,0.0,inf,inf,f2=1: 5.340e+04/yr; per kt yr at f2=1: 5.901e+04; Q=0.157 (Cecil cross-check 0.106)
D: exothermic delta=350 on O (f2 = P058 limit 5.7e-05),SNO+ water,O,13212.775038074662,350.8733730630197,12.327460197332693,18.851233264600776,3500.0,False,0.0,inf,inf,f2=1: 2.318e+08/yr; per kt yr at f2=1: 2.561e+08; Q=0.044 (Cecil cross-check 0.106)
D: exothermic delta=366 on H (f2 = P058 limit 4.8e-06),SNO+ water,H,3.204939126073262,366.7074332834944,54.963113890801225,61.15979802806323,3500.0,False,0.0,inf,inf,f2=1: 6.677e+05/yr; per kt yr at f2=1: 7.378e+05; Q=0.158 (Cecil cross-check 0.110)
D: exothermic delta=366 on O (f2 = P058 limit 4.8e-06),SNO+ water,O,13527.000255191322,366.16974998353516,12.92752378328232,19.58772052576689,3500.0,False,0.0,inf,inf,f2=1: 2.818e+09/yr; per kt yr at f2=1: 3.114e+09; Q=0.044 (Cecil cross-check 0.110)
D: exothermic delta=380 on H (f2 = P058 limit 1.7e-07),SNO+ water,H,3.644384621337816,380.68688845159954,57.543397520853624,63.904640356398765,3500.0,False,0.0,inf,inf,f2=1: 2.144e+07/yr; per kt yr at f2=1: 2.369e+07; Q=0.159 (Cecil cross-check 0.113)
D: exothermic delta=380 on O (f2 = P058 limit 1.7e-07),SNO+ water,O,15012.699194501063,379.5607731404085,13.452584021553808,20.228021341873106,3500.0,False,0.0,inf,inf,f2=1: 8.831e+10/yr; per kt yr at f2=1: 9.758e+10; Q=0.044 (Cecil cross-check 0.113)
